fold_id,model,train_size,test_size,best_params
0,majority,1058,126,{}
0,naive,1058,126,{}
0,logistic,1058,126,"{""clf__C"": 1.0}"
0,rf,1058,126,"{""n_estimators"": 100, ""min_samples_split"": 20, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""max_depth"": 7}"
0,xgb,1058,126,"{""subsample"": 0.7, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.2, ""colsample_bytree"": 0.9}"
1,majority,1059,126,{}
1,naive,1059,126,{}
1,logistic,1059,126,"{""clf__C"": 0.01}"
1,rf,1059,126,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 3}"
1,xgb,1059,126,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""colsample_bytree"": 0.9}"
2,majority,1059,126,{}
2,naive,1059,126,{}
2,logistic,1059,126,"{""clf__C"": 0.01}"
2,rf,1059,126,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3}"
2,xgb,1059,126,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 200, ""max_depth"": 2, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
3,majority,1058,126,{}
3,naive,1058,126,{}
3,logistic,1058,126,"{""clf__C"": 0.01}"
3,rf,1058,126,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 3}"
3,xgb,1058,126,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
4,majority,1060,126,{}
4,naive,1060,126,{}
4,logistic,1060,126,"{""clf__C"": 0.01}"
4,rf,1060,126,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3}"
4,xgb,1060,126,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.01, ""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.7}"
5,majority,1060,126,{}
5,naive,1060,126,{}
5,logistic,1060,126,"{""clf__C"": 0.01}"
5,rf,1060,126,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 10}"
5,xgb,1060,126,"{""subsample"": 1.0, ""reg_lambda"": 0.1, ""reg_alpha"": 1.0, ""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 1.0}"
6,majority,1059,126,{}
6,naive,1059,126,{}
6,logistic,1059,126,"{""clf__C"": 0.01}"
6,rf,1059,126,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 7}"
6,xgb,1059,126,"{""subsample"": 0.7, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 0.9}"
7,majority,1059,126,{}
7,naive,1059,126,{}
7,logistic,1059,126,"{""clf__C"": 0.01}"
7,rf,1059,126,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3}"
7,xgb,1059,126,"{""subsample"": 0.7, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 0.9}"
8,majority,1059,126,{}
8,naive,1059,126,{}
8,logistic,1059,126,"{""clf__C"": 0.01}"
8,rf,1059,126,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 10}"
