model,metric,mean,std,ci_low,ci_high
logistic,accuracy,0.46574770258980785,0.044429689505537114,0.4477756892230576,0.485797827903091
logistic,precision,0.541083263618192,0.16625769361451717,0.4594940698444766,0.6060980080306698
logistic,recall,0.3799471112762238,0.2723781647689555,0.26415950566081176,0.5016035496946875
logistic,f1,0.3843409022287413,0.1961129878622333,0.3018454892802969,0.4662118700825968
logistic,roc_auc,0.4890534191983824,0.0535304817576264,0.4629056925150958,0.5111871363965405
logistic,log_loss,0.7288417072270659,0.03661752751972894,0.7140331376720281,0.745591479578577
majority,accuracy,0.5543024227234753,0.04829496467939326,0.531328320802005,0.5739348370927317
majority,precision,0.5543024227234753,0.04829496467939326,0.5317460317460317,0.5735275689223057
majority,recall,1.0,0.0,1.0,1.0
majority,f1,0.7120315639545076,0.04139690809939162,0.6922314334813885,0.7288373580021207
majority,roc_auc,0.5,0.0,0.5,0.5
majority,log_loss,0.6890859905196967,0.012781653872913058,0.6841157007109869,0.694937306922453
naive,accuracy,0.4912280701754385,0.05759027374170368,0.464484126984127,0.5158730158730159
naive,precision,0.5360655442538468,0.07657385845505461,0.5013052368516339,0.5684240627444138
naive,recall,0.5376278894017462,0.0760374851106265,0.5039333892853601,0.5713141412095575
naive,f1,0.5368351639513746,0.07626729915362983,0.5044158561737103,0.5678171423203252
naive,roc_auc,0.5,0.0,0.5,0.5
naive,log_loss,0.6931471805599454,0.0,0.6931471805599454,0.6931471805599454
rf,accuracy,0.49665831244778613,0.04476420227771679,0.47702589807852963,0.5158730158730158
rf,precision,0.59791460542136,0.12690299327589571,0.5499236581668052,0.6594132135141859
rf,recall,0.5070806927707995,0.2563201584397386,0.38818439445149755,0.6145833371036727
rf,f1,0.4861814988587235,0.1786284905332646,0.4035293548236936,0.5599603820199102
rf,roc_auc,0.4968084032930755,0.04074178955202793,0.4797330999103482,0.5155577078379872
rf,log_loss,0.7049132027747146,0.013212201298636908,0.6996994243019363,0.7106731768297017
xgb,accuracy,0.49665831244778613,0.03781456990733469,0.47953216374269003,0.5116959064327485
xgb,precision,0.5613122234282372,0.05334896207928353,0.5385456431679242,0.5831774231875814
xgb,recall,0.5072874909308852,0.1853217956989109,0.4279593835245204,0.5851711669703266
xgb,f1,0.5107784489352736,0.09490522224793942,0.46793251352452636,0.5494190954417103
xgb,roc_auc,0.49701134208763736,0.04867578862040674,0.47546202206666927,0.5171663043998763
xgb,log_loss,0.8560385840667522,0.1538486213927855,0.79506481439129,0.9261372996477815
