return_regime,vol_regime,model,accuracy,roc_auc
bear,high,logistic,0.4523809523809524,0.5334183673469387
bear,high,majority,0.5555555555555556,0.5
bear,high,naive,0.4682539682539682,0.5
bear,high,rf,0.5,0.534438775510204
bear,high,xgb,0.5238095238095238,0.5165816326530612
bull,high,logistic,0.5079365079365079,0.5152129817444219
bull,high,majority,0.5396825396825397,0.5
bull,high,naive,0.4841269841269841,0.5
bull,high,rf,0.5079365079365079,0.4918864097363083
bull,high,xgb,0.4841269841269841,0.4731237322515213
bull,low,logistic,0.45238095238095233,0.4674457344329288
bull,low,majority,0.582010582010582,0.5
bull,low,naive,0.5026455026455027,0.5
bull,low,rf,0.47883597883597884,0.4941102847255457
bull,low,xgb,0.48941798941798936,0.48906309010667126
bull,mid,logistic,0.43849206349206343,0.4671347735186604
bull,mid,majority,0.5912698412698413,0.5
bull,mid,naive,0.5218253968253967,0.5
bull,mid,rf,0.5079365079365079,0.48577099801197776
bull,mid,xgb,0.4662698412698412,0.4663930862762062
sideways,high,logistic,0.47619047619047616,0.5019114493758099
sideways,high,majority,0.49206349206349204,0.5
sideways,high,naive,0.4563492063492063,0.5
sideways,high,rf,0.5059523809523809,0.5014168431254733
sideways,high,xgb,0.5138888888888888,0.5260626967896063
sideways,low,logistic,0.5634920634920635,0.5866430559069062
sideways,low,majority,0.5317460317460317,0.5
sideways,low,naive,0.365079365079365,0.5
sideways,low,rf,0.5396825396825397,0.5671641791044776
sideways,low,xgb,0.5476190476190477,0.5752592967366557
sideways,mid,logistic,0.4761904761904761,0.4879406307977736
sideways,mid,majority,0.5396825396825398,0.5
sideways,mid,naive,0.5436507936507937,0.5
sideways,mid,rf,0.4801587301587301,0.46622861265718407
sideways,mid,xgb,0.5119047619047619,0.48702458256029685
