fold_id,model,metric,value
0,logistic,accuracy,0.5476190476190477
0,logistic,precision,0.5402298850574713
0,logistic,recall,0.734375
0,logistic,f1,0.6225165562913907
0,logistic,roc_auc,0.5113407258064516
0,logistic,log_loss,0.7810541727160867
0,majority,accuracy,0.5079365079365079
0,majority,precision,0.5079365079365079
0,majority,recall,1.0
0,majority,f1,0.6736842105263158
0,majority,roc_auc,0.5
0,majority,log_loss,0.7010342239548184
0,naive,accuracy,0.42857142857142855
0,naive,precision,0.4375
0,naive,recall,0.4375
0,naive,f1,0.4375
0,naive,roc_auc,0.5
0,naive,log_loss,0.6931471805599454
0,rf,accuracy,0.5158730158730159
0,rf,precision,0.5148514851485149
0,rf,recall,0.8125
0,rf,f1,0.6303030303030303
0,rf,roc_auc,0.4816028225806452
0,rf,log_loss,0.698168055307328
2,logistic,accuracy,0.48412698412698413
2,logistic,precision,0.8333333333333334
2,logistic,recall,0.07246376811594203
2,logistic,f1,0.13333333333333333
2,logistic,roc_auc,0.5741164505466565
2,logistic,log_loss,0.6991289829321722
2,majority,accuracy,0.5476190476190477
2,majority,precision,0.5476190476190477
2,majority,recall,1.0
2,majority,f1,0.7076923076923077
2,majority,roc_auc,0.5
2,majority,log_loss,0.6886051615004993
2,naive,accuracy,0.42063492063492064
2,naive,precision,0.4714285714285714
2,naive,recall,0.4782608695652174
2,naive,f1,0.4748201438848921
2,naive,roc_auc,0.5
2,naive,log_loss,0.6931471805599454
2,rf,accuracy,0.47619047619047616
2,rf,precision,0.6
2,rf,recall,0.13043478260869565
2,rf,f1,0.21428571428571427
2,rf,roc_auc,0.5555555555555556
2,rf,log_loss,0.6952950446567204
17,logistic,accuracy,0.4523809523809524
17,logistic,precision,0.5714285714285714
17,logistic,recall,0.05714285714285714
17,logistic,f1,0.1038961038961039
17,logistic,roc_auc,0.5334183673469387
17,logistic,log_loss,0.7293664620871332
17,majority,accuracy,0.5555555555555556
17,majority,precision,0.5555555555555556
17,majority,recall,1.0
17,majority,f1,0.7142857142857143
17,majority,roc_auc,0.5
17,majority,log_loss,0.6872117502313716
17,naive,accuracy,0.46825396825396826
17,naive,precision,0.5217391304347826
17,naive,recall,0.5142857142857142
17,naive,f1,0.5179856115107914
17,naive,roc_auc,0.5
17,naive,log_loss,0.6931471805599454
17,rf,accuracy,0.5634920634920635
17,rf,precision,0.5949367088607594
17,rf,recall,0.6714285714285714
17,rf,f1,0.6308724832214765
17,rf,roc_auc,0.5265306122448979
17,rf,log_loss,0.6904161264766213
