model,metric,mean,std,ci_low,ci_high
logistic,accuracy,0.4947089947089947,0.04849286449688722,0.4523809523809524,0.5476190476190477
logistic,precision,0.6483305966064586,0.16097468420576433,0.5402298850574713,0.8333333333333334
logistic,recall,0.2879938750862664,0.3866532866635159,0.05714285714285714,0.734375
logistic,f1,0.286581997840276,0.2912999455725045,0.10389610389610389,0.6225165562913907
logistic,roc_auc,0.5396251812333489,0.0318448003311356,0.5113407258064516,0.5741164505466565
logistic,log_loss,0.7365165392451307,0.0414279722265837,0.6991289829321722,0.7810541727160866
majority,accuracy,0.5370370370370371,0.0255123036005105,0.5079365079365079,0.5529100529100529
majority,precision,0.5370370370370371,0.0255123036005105,0.5079365079365079,0.5555555555555556
majority,recall,1.0,0.0,1.0,1.0
majority,f1,0.6985540775014459,0.021788780717309466,0.6736842105263158,0.7142857142857143
majority,roc_auc,0.5,0.0,0.5,0.5
majority,log_loss,0.6922837118955631,0.007610124487523989,0.6872117502313716,0.7010342239548185
naive,accuracy,0.43915343915343913,0.025512303600510468,0.42063492063492064,0.4682539682539682
naive,precision,0.4768892339544513,0.042384217587661574,0.4375,0.5217391304347826
naive,recall,0.4766821946169772,0.03841719199181515,0.4375,0.5142857142857142
naive,f1,0.4767685851318945,0.040278166946079774,0.4375,0.5179856115107914
naive,roc_auc,0.5,0.0,0.5,0.5
naive,log_loss,0.6931471805599454,0.0,0.6931471805599454,0.6931471805599454
rf,accuracy,0.5185185185185185,0.04371087735941352,0.4761904761904761,0.5634920634920635
rf,precision,0.5699293980030915,0.04776600875729964,0.5148514851485149,0.6
rf,recall,0.5381211180124224,0.3600436057562832,0.13043478260869565,0.8125
rf,f1,0.4918204092700737,0.24035226493462183,0.21428571428571427,0.6308724832214765
rf,roc_auc,0.5212296634603663,0.03726025660307201,0.4816028225806452,0.5555555555555556
rf,log_loss,0.6946264088135564,0.003918980169273349,0.6904161264766214,0.6972103850904587
