return_regime,vol_regime,model,accuracy,roc_auc
bear,high,logistic,0.4523809523809524,0.5334183673469387
bear,high,majority,0.5555555555555556,0.5
bear,high,naive,0.4682539682539682,0.5
bear,high,rf,0.5634920634920635,0.5265306122448979
bull,low,logistic,0.4841269841269841,0.5741164505466565
bull,low,majority,0.5476190476190477,0.5
bull,low,naive,0.4206349206349206,0.5
bull,low,rf,0.4761904761904761,0.5555555555555556
sideways,high,logistic,0.5476190476190477,0.5113407258064516
sideways,high,majority,0.5079365079365079,0.5
sideways,high,naive,0.4285714285714285,0.5
sideways,high,rf,0.5158730158730159,0.4816028225806452
