fold_id,test_start,test_end,realised_return,realised_vol,return_regime,vol_regime
0,2015-10-19,2016-04-19,0.04317430093740227,0.16386980925772707,sideways,high
1,2016-04-29,2016-10-26,0.04009559365292572,0.11551225469281673,sideways,low
2,2016-11-08,2017-05-10,0.1283188793167933,0.06901531369850784,bull,low
3,2017-05-18,2017-11-14,0.09865906849021083,0.06410020030406423,bull,low
4,2017-11-28,2018-05-30,0.05557208977301061,0.163633635355962,bull,high
5,2018-06-07,2018-12-04,-0.01711584200936703,0.14408764907051702,sideways,mid
6,2018-12-17,2019-06-18,0.12585254481598535,0.1570110865170326,bull,mid
7,2019-06-27,2019-12-24,0.11016906223623495,0.12554207503414147,bull,low
8,2020-01-06,2020-07-06,-0.0065106889614451845,0.44814095803691223,sideways,high
9,2020-07-16,2021-01-13,0.17378154757385975,0.1635817050784063,bull,mid
10,2021-01-26,2021-07-26,0.14396858441517343,0.13441061080896552,bull,mid
11,2021-08-05,2022-02-02,0.047700780568101425,0.1403128567152101,sideways,mid
12,2022-02-15,2022-08-16,-0.014045451423499125,0.2512489055196554,sideways,high
13,2022-08-25,2023-02-24,-0.03401419603752623,0.22889297874295136,sideways,high
14,2023-03-07,2023-09-05,0.11249653764931238,0.1258260619861654,bull,low
15,2023-09-18,2024-03-18,0.1527468140270763,0.11905072044971957,bull,low
16,2024-03-27,2024-09-25,0.10045237341888226,0.13424701950702195,bull,mid
17,2024-10-07,2025-04-08,-0.13694376269254843,0.1823358863104867,bear,high
18,2025-04-17,2025-10-16,0.2342750712512457,0.12699583134905426,bull,low
